start_station_name,member_casual,start_lat,start_lng,total_trips
Financial Pl & Ida B Wells Dr,casual,41.875013573639372,-87.633095024271441,1422
Ogden Ave & Congress Pkwy,casual,41.875008339430892,-87.673266630081315,328
Financial Pl & Ida B Wells Dr,member,41.875010782881112,-87.633096532277719,3906
Ogden Ave & Congress Pkwy,member,41.875006970024977,-87.67327501942826,1201
Ashland Ave & Wrightwood Ave,member,41.928822172610886,-87.668510198673985,2916
Rush St & Hubbard St,casual,41.890174269703962,-87.626193908496745,2601
Millennium Park,casual,41.881038483190352,-87.624085850636774,18186
Franklin St & Chicago Ave,casual,41.896748851642968,-87.635689509470424,2914
Damen Ave & Wellington Ave,casual,41.935883590660708,-87.678422245280672,1342
Clark St & Leland Ave,casual,41.967095021310435,-87.667431854643752,2096
McClurg Ct & Erie St,casual,41.89450890337281,-87.617923712630045,4645
Racine Ave & Fullerton Ave,member,41.925578445698306,-87.658410027813161,5838
Indiana Ave & 103rd St,casual,41.707169052287583,-87.61843726797386,51
Loomis St & Archer Ave,casual,41.84163136085801,-87.6574322496855,393
Loomis St & Archer Ave,member,41.841625602151325,-87.657425944194941,823
Wabash Ave & Roosevelt Rd,member,41.8672127999512,-87.625974574462617,12297
Kedzie Ave & Milwaukee Ave,casual,41.929575831832608,-87.707876010548,3887
Mies van der Rohe Way & Chicago Ave,member,41.896943863697565,-87.621729405700819,9408
Lakeview Ave & Fullerton Pkwy,member,41.925866629293424,-87.6389764982778,10355
Clark St & Drummond Pl,member,41.931239514107794,-87.644322258993114,10786
Michigan Ave & Jackson Blvd,member,41.877865910009476,-87.62408747452902,3167
Clark St & North Ave,casual,41.911972868168739,-87.631946292457656,5215
Clark St & Elmdale Ave,casual,41.990517072359822,-87.669822050385562,966
Sheridan Rd & Noyes St (NU),casual,42.058229860811252,-87.677431843474011,1019
Clark St & 9th St (AMLI),casual,41.870812355612486,-87.631225523210674,2147
Greenview Ave & Fullerton Ave,member,41.9253368266931,-87.665804882061451,5045
Rockwell St & Eastwood Ave,member,41.965889020037736,-87.693630196207749,1631
Wabash Ave & Wacker Pl,member,41.886885332335112,-87.626031068803613,4508
Green St & Madison St,casual,41.881885435512253,-87.648795362058465,4926
Sheffield Ave & Wrightwood Ave,casual,41.928707362379413,-87.65382690107181,4665
LaSalle St & Adams St,casual,41.879371390949437,-87.631981259147139,1065
Clark St & Chicago Ave,member,41.896750602660859,-87.63088716837234,7817
Wabash Ave & 9th St,member,41.870763233794833,-87.625726269063065,7873
Broadway & Cornelia Ave,casual,41.945525975849378,-87.64643625459685,6073
Clark St & Schiller St,member,41.9079970912909,-87.631507588046063,11865
Wells St & Hubbard St,member,41.889915023122107,-87.63427789460691,10668
