end_station_name,member_casual,end_lat,end_lng,total_trips
McClurg Ct & Illinois St,casual,41.890410601202866,-87.617560782521522,6734
Ogden Ave & Congress Pkwy,member,41.875004330275232,-87.673268453822629,1090
Financial Pl & Ida B Wells Dr,casual,41.875039421488879,-87.633082736355178,1320
Damen Ave & Division St,member,41.903281724196816,-87.678422283782837,4783
Canal St & Monroe St,member,41.881701018016606,-87.639508003361712,3173
Dearborn St & Van Buren St,member,41.87629418459796,-87.629186961180309,2649
Halsted St & Roosevelt Rd,member,41.867322908597771,-87.648615463927328,2458
Michigan Ave & Oak St,member,41.900979343295027,-87.623792463878246,8179
Lake Park Ave & 35th St,member,41.831279785515591,-87.6087842026996,1253
Peoria St & Jackson Blvd,member,41.877628822587219,-87.649598012751056,7309
Michigan Ave & 18th St,member,41.857818844858,-87.624562152618111,5481
Mies van der Rohe Way & Chicago Ave,member,41.896916540239744,-87.621761047697859,8760
Wabash Ave & Grand Ave,casual,41.891466018222438,-87.6267609162111,9695
Franklin St & Illinois St,member,41.891013090745062,-87.635485019297036,7818
Clinton St & Lake St,member,41.885611871421808,-87.641803016110444,9828
Clinton St & Lake St,casual,41.885620643225586,-87.641789352303988,2908
Wabash Ave & 16th St,member,41.860406107309636,-87.625810325520845,5568
Wabash Ave & Wacker Pl,member,41.886921852211792,-87.626047516569841,4476
Loomis St & Jackson Blvd,casual,41.8779379906189,-87.6620059036306,1368
Clinton St & Roosevelt Rd,member,41.867121053276733,-87.641094041043189,4682
Orleans St & Merchandise Mart Plaza,member,41.8882031230834,-87.636394763285011,6348
Fairbanks Ct & Grand Ave,member,41.891831917285515,-87.620588948647764,10219
Millennium Park,member,41.881025354119096,-87.624091101720381,5956
Larrabee St & Menomonee St,member,41.914686146728357,-87.643311760850423,3026
Hermitage Ave & Polk St,member,41.871516074658416,-87.669878203725531,3391
Indiana Ave & Roosevelt Rd,member,41.86789519188423,-87.623026205031024,10687
Lake Shore Dr & Ohio St,member,41.892564484317781,-87.614536299899171,6281
Michigan Ave & 8th St,member,41.872763508202532,-87.623982724926833,3759
Wood St & Taylor St,member,41.869182551358804,-87.671325812803744,3169
Wentworth Ave & Cermak Rd (Temp),member,41.853000028463,-87.630599874762808,527
Aberdeen St & Jackson Blvd,member,41.877717374669096,-87.6547879522808,6356
Dearborn St & Monroe St,member,41.881306662502553,-87.62954812287694,10115
Clinton St & Tilden St,member,41.8759059055778,-87.640795668520965,2247
Milwaukee Ave & Grand Ave,member,41.891584524931993,-87.648377963149755,8824
State St & Van Buren St,member,41.877197057572424,-87.627832401906844,3636
Canal St & Jackson Blvd,member,41.877243161981987,-87.639395679519509,2775
Halsted St & Polk St,member,41.871824603508,-87.646643790602,4618
Wells St & Huron St,member,41.894724875562112,-87.63435366873081,13565
Ashland Ave & Grand Ave,casual,41.891078730274685,-87.666615768166764,1711
Franklin St & Monroe St,member,41.880319171003258,-87.635238719835385,8263
Canal St & Madison St,member,41.882100850637819,-87.639771706900262,6193
Wolcott Ave & Polk St,member,41.871273238035329,-87.673678997533074,6756
Michigan Ave & 14th St,member,41.864124295640934,-87.623746367380519,6584
Larrabee St & Kingsbury St,member,41.897764327644474,-87.642897045341869,8877
Ashland Ave & Augusta Blvd,member,41.8996271945234,-87.667737914250537,3518
Clinton St & Washington Blvd,member,41.883406525127249,-87.641188436704851,12576
Western Ave & Monroe St,casual,41.879803023980521,-87.686075375777222,820
Wells St & Polk St,member,41.872617923190504,-87.633509975923587,5531
Wabash Ave & Roosevelt Rd,casual,41.867224101273209,-87.62596574906766,8849
Wabash Ave & Roosevelt Rd,member,41.867220254675047,-87.625975028242479,13868
Clark St & 9th St (AMLI),casual,41.870830557588711,-87.631203977740839,2104
State St & Randolph St,casual,41.884730480183244,-87.627734414048462,6536
State St & Randolph St,member,41.884733768335209,-87.627728026495234,7127
Columbus Dr & Randolph St,member,41.884681213288253,-87.619545716703669,9906
Canal St & Adams St,member,41.879305086184168,-87.639893747278464,12891
Canal St & Adams St,casual,41.879305889575093,-87.6398938578722,2024
Federal St & Polk St,member,41.872103708890357,-87.629532264610916,8719
Halsted St & Maxwell St,member,41.86490315490591,-87.647076617159513,2976
Clark St & Chicago Ave,member,41.896752775920518,-87.630890736012418,7179
Morgan St & Lake St,member,41.885506214950063,-87.652287628308585,9350
Desplaines St & Jackson Blvd,casual,41.878294267680651,-87.6438988762675,2597
Dearborn St & Erie St,member,41.893995356544693,-87.629326734627952,16041
Damen Ave & Chicago Ave,member,41.895764389159211,-87.677191613482975,6371
Wood St & Hubbard St,member,41.889903449169594,-87.671493196108045,1987
LaSalle St & Washington St,member,41.882724153768415,-87.632535383835986,6267
Damen Ave & Grand Ave,member,41.8912896874985,-87.67685869187153,2565
Clinton St & Madison St,member,41.882216009617828,-87.641091766101212,14383
Clark St & Randolph St,member,41.88460124788633,-87.631884895347511,7343
Lake Shore Dr & Wellington Ave,casual,41.936690812330831,-87.63683079307539,8598
Ashland Ave & Division St,casual,41.903456639854454,-87.6677356066051,5955
Sheridan Rd & Loyola Ave,member,42.001041257833869,-87.661210888216672,2420
Streeter Dr & Grand Ave,casual,41.89228053023426,-87.612045803920566,28202
Sheffield Ave & Webster Ave,member,41.921545849643145,-87.653802015303313,7286
Wood St & Augusta Blvd,member,41.899189316807515,-87.672179459953057,3550
Milwaukee Ave & Rockwell St,casual,41.920248791120216,-87.692770386214136,1282
Broadway & Sheridan Rd,casual,41.952812315320905,-87.649991090476163,3220
Walsh Park,member,41.91460832496783,-87.66797314657515,2331
State St & 33rd St,member,41.834740543681406,-87.625799002400555,3888
Indiana Ave & 103rd St,casual,41.70716663429387,-87.618445833382751,48
Loomis St & Archer Ave,casual,41.841634989524884,-87.657435359259935,387
Halsted St & Polk St,casual,41.871834686577181,-87.646626474720364,745
Indiana Ave & 31st St,member,41.838846752514563,-87.621861177607215,1889
Damen Ave & Thomas St (Augusta Blvd),casual,41.901325420405357,-87.677414114521852,1694
Blackstone Ave & Hyde Park Blvd,casual,41.802580523961666,-87.590374814341516,1878
Clark St & Schiller St,casual,41.907991480252484,-87.631505793086859,5545
Wells St & Concord Ln,member,41.912121809545425,-87.63467470097531,15414
Columbus Dr & Randolph St,casual,41.884699855442655,-87.619531247662664,6988
Clark St & Armitage Ave,casual,41.918298088042633,-87.636291670719061,9007
Buckingham Fountain,casual,41.876504316937748,-87.620533707949335,9016
Michigan Ave & Washington St,member,41.88399810420357,-87.624697017990158,8886
Wells St & Hubbard St,casual,41.889917828232271,-87.634287286038173,5293
Rush St & Superior St,member,41.895768249753623,-87.625982732752078,8165
California Ave & Byron St,member,41.9521643787779,-87.69806779716275,1270
Dearborn St & Van Buren St,casual,41.876289600746965,-87.629203625210053,1785
Stetson Ave & South Water St,member,41.886782919642151,-87.622363825648293,4229
Artesian Ave & Hubbard St,member,41.889497667334943,-87.688085968492,1884
St. Louis Ave & Fullerton Ave,casual,41.924826911067164,-87.714470047916322,204
Southport Ave & Wrightwood Ave,member,41.928781035641542,-87.663891831108117,4419
Lake Shore Dr & Monroe St,casual,41.880963392675042,-87.616740035000873,19090
Clark St & Lake St,casual,41.886034835235719,-87.6309012419851,4633
Lake Park Ave & 53rd St,casual,41.799528694001168,-87.586459156992234,2627
Lakeview Ave & Fullerton Pkwy,casual,41.925868732563089,-87.638981744627444,7833
Rush St & Hubbard St,member,41.8901864429639,-87.6262114838903,4728
Western Ave & Winnebago Ave,member,41.915518645208643,-87.6870156235409,4769
Rush St & Cedar St,casual,41.902300038257906,-87.627720803387064,6528
Broadway & Sheridan Rd,member,41.95281981811651,-87.649989729768578,6265
Western Ave & Walton St,member,41.898414367557017,-87.686587299430258,3712
Southport Ave & Wellington Ave,casual,41.935713922441131,-87.66355237732111,2944
Southport Ave & Wellington Ave,member,41.935729477498519,-87.663575603485313,6207
Southport Ave & Clybourn Ave,member,41.920780312941815,-87.663706614962862,3678
Clybourn Ave & Division St,member,41.904603011116521,-87.640560414203108,4093
Kingsbury St & Erie St,member,41.893800702513971,-87.641683512142663,11616
