month,member_casual,avg_ride_duration
MAY,casual,44.6354891713419
MAY,member,19.528531017666683
MAR,member,13.059424199759222
JAN,member,10.867593148704257
FEB,member,11.092730939069352
APR,member,18.239420410196804
APR,casual,39.532778992184923
FEB,casual,39.396419793544162
AUG,member,16.335359030673267
SEP,casual,32.6817308916672
NOV,casual,29.375187224364133
AUG,casual,37.883145724289726
OCT,casual,28.19735376044569
NOV,member,13.517168057783463
JUL,member,17.503811301894508
JUL,casual,44.760890611879113
JUN,casual,42.568769607008953
SEP,member,15.014855887883062
OCT,member,13.825031562377013
DEC,casual,23.953312220668479
DEC,member,12.464913940960018
MAR,casual,41.234916864608088
JAN,casual,37.887314404792924
JUN,member,18.442088872789366
