hour_of_day,member_casual,avg_ride_duration
13,casual,40.347394856753795
11,member,15.582754243578208
19,casual,37.138193885075715
15,member,16.080576560745175
17,member,15.698159385292845
10,member,15.419203603562844
6,member,13.157014961981853
16,member,15.65454563376848
18,member,15.814178257706539
8,member,13.474530662995218
23,member,14.104323163078114
7,member,13.33600706941465
17,casual,35.2052627323743
16,casual,37.242705869499105
9,member,14.188657864201083
5,member,12.515437543169863
19,member,15.810498982208467
12,member,15.431643773000792
21,member,14.640480882510438
14,member,16.595394337581464
12,casual,39.394269289036949
13,member,15.873667457197119
21,casual,39.37381129719077
20,member,15.535748534433759
9,casual,33.392067610713923
18,casual,35.648228056835023
20,casual,38.826213379973765
0,casual,46.103652863764012
15,casual,39.2475007041592
22,casual,40.292700412218032
7,casual,24.970813098042981
23,casual,40.872069670168273
14,casual,40.754089012058564
0,member,13.867940710357042
8,casual,27.342694591221374
1,member,14.078994444444447
11,casual,39.117586176508745
1,casual,50.478152345236154
2,member,14.021826484018264
22,member,14.156580863479697
2,casual,50.453895441968839
10,casual,38.349315746508012
5,casual,32.174571917808215
6,casual,25.508741087151069
4,member,12.082040689410093
3,casual,47.11777808779761
4,casual,40.324661246612465
3,member,13.766876006441223
